,Song,Writer(s),Original release,Producer(s),Year,Ref.
19,"""Borrowed Time""",John Lennon,Milk and Honey,John Lennon Yoko Ono,1984,[32]
20,"""Bring On the Lucie (Freda Peeple)""",John Lennon,Mind Games,John Lennon,1973,[25]
21,"""Cambridge 1969"" #",John Lennon Yoko Ono,Unfinished Music No. 2: Life with the Lions,John Lennon Yoko Ono,1969,[29]
22,"""Cleanup Time"" #",John Lennon,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
23,"""Cold Turkey""[c] (Plastic Ono Band)",John Lennon,Non-album single,John Lennon Yoko Ono,1969,[33]
24,"""Come Together""[d] (live)",John Lennon Paul McCartney,Live in New York City,Yoko Ono,1986,[34]
25,"""Crippled Inside""",John Lennon,Imagine,John Lennon Yoko Ono Phil Spector,1971,[35]
26,"""Dear John""",John Lennon,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
27,"""Dear Yoko"" #",John Lennon,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
28,"""Dizzy, Miss Lizzy"" (live) (Plastic Ono Band)",Larry Williams †,Live Peace in Toronto 1969,John Lennon Yoko Ono,1969,[31]
29,"""Do You Want to Dance""",Bobby Freeman †,Rock 'n' Roll,John Lennon,1975,[24]
30,"""Do the Oz""",John Lennon Yoko Ono,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
31,"""Don't Be Scared"" #",Yoko Ono †,Milk and Honey,John Lennon Yoko Ono,1984,[32]
32,"""Don't Worry Kyoko""[c] (Yoko Ono and Plastic Ono Band)",Yoko Ono †,Fly,John Lennon Yoko Ono,1971,[36]
33,"""Every Man Has a Woman Who Loves Him"" #",Yoko Ono †,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
34,"""(Forgive Me) My Little Flower Princess"" #",John Lennon,Milk and Honey,John Lennon Yoko Ono,1984,[32]
35,"""Free as a Bird"" (demo)",John Lennon,–,–,–[e],[37]
36,"""Gimme Some Truth""",John Lennon,Imagine,John Lennon Yoko Ono Phil Spector,1971,[35]
37,"""Give Me Something"" #",Yoko Ono †,Double Fantasy,John Lennon Yoko Ono Jack Douglas,1980,[30]
38,"""Give Peace a Chance"" (Plastic Ono Band)",John Lennon Paul McCartney[f],Non-album single,John Lennon Yoko Ono,1969,[39]
39,"""God""",John Lennon,John Lennon/Plastic Ono Band,John Lennon Yoko Ono Phil Spector,1970,[40]
40,"""God Save Oz""",John Lennon Yoko Ono,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
41,"""Going Down on Love""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
42,"""Goodnight Vienna""",John Lennon,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
43,"""The Great Wok""",John Lennon,John Lennon Anthology,Yoko Ono Rob Stevens,1998,[23]
44,"""Grow Old with Me"" #",John Lennon,Milk and Honey,John Lennon Yoko Ono,1984,[32]
45,"""Happy Xmas (War Is Over)"" (John & Yoko/Plastic Ono Band with the Harlem Community Choir)",John Lennon Yoko Ono,Non-album single,Phil Spector John Lennon Yoko Ono,1971,[41]
