,Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year,Ref(s)
124,"""Martha My Dear""","The Beatles (""White Album"")",Lennon McCartney,McCartney,1968,[62]
125,"""Matchbox""",Past Masters,Carl Perkins †,Starr,1964,[52]
126,"""Maxwell's Silver Hammer""",Abbey Road,Lennon McCartney,McCartney,1969,[64]
127,"""Mean Mr. Mustard""",Abbey Road,Lennon McCartney,Lennon,1969,[64]
128,"""Michelle""",Rubber Soul,Lennon McCartney,McCartney,1965,[69]
129,"""Misery""",Please Please Me,Lennon McCartney,Lennon (with McCartney),1963,[60]
130,"""Money (That's What I Want)""",With the Beatles,Berry Gordy Janie Bradford †,Lennon,1963,[54]
131,"""Mother Nature's Son""","The Beatles (""White Album"")",Lennon McCartney,McCartney,1968,[62]
132,"""Mr. Moonlight""",Beatles for Sale,Roy Lee Johnson †,Lennon,1964,[61]
133,"""The Night Before""",Help!,Lennon McCartney,McCartney,1965,[53]
134,"""No Reply""",Beatles for Sale,Lennon McCartney,Lennon,1964,[61]
135,"""Norwegian Wood (This Bird Has Flown)""",Rubber Soul,Lennon McCartney,Lennon,1965,[69]
136,"""Not a Second Time""",With the Beatles,Lennon McCartney,Lennon,1963,[54]
137,"""Nowhere Man""",Rubber Soul,Lennon McCartney,Lennon,1965,[69]
138,"""Ob-La-Di, Ob-La-Da""","The Beatles (""White Album"")",Lennon McCartney,McCartney,1968,[62]
139,"""Octopus's Garden""",Abbey Road,Starkey,Starr,1969,[64]
140,"""Oh! Darling""",Abbey Road,Lennon McCartney,McCartney,1969,[64]
141,"""Old Brown Shoe"" #","Past Masters (B-side of ""The Ballad of John and Yoko"")",Harrison,Harrison,1969,[52] [63]
142,"""One After 909""",Let It Be,Lennon McCartney,Lennon (with McCartney),1970,[51]
143,"""Only a Northern Song""",Yellow Submarine,Harrison,Harrison,1969,[55]
144,"""Paperback Writer"" #",Past Masters,Lennon McCartney,McCartney,1966,[52] [89]
145,"""Penny Lane"" #","Magical Mystery Tour (Double A-side with ""Strawberry Fields Forever"")",Lennon McCartney,McCartney,1967,[57] [90]
146,"""Piggies""","The Beatles (""White Album"")",Harrison,Harrison,1968,[62]
147,"""Please Mr. Postman""",With the Beatles,Georgia Dobbins William Garrett Brian Holland Robert Bateman Freddie Gorman †,Lennon,1963,[54]
148,"""Please Please Me""",Please Please Me,Lennon McCartney,Lennon (with McCartney),1963,[60]
149,"""Polythene Pam""",Abbey Road,Lennon McCartney,Lennon,1969,[64]
150,"""P.S. I Love You""",Please Please Me,Lennon McCartney,McCartney,1962,[60]
151,"""Rain"" #","Past Masters (B-side of ""Paperback Writer"")",Lennon McCartney,Lennon,1966,[52] [89]
152,"""Revolution""[m] #","Past Masters (B-side of ""Hey Jude"")",Lennon McCartney,Lennon,1968,[52] [73]
153,"""Revolution 1""[n]","The Beatles (""White Album"")",Lennon McCartney,Lennon,1968,[62]
154,"""Revolution 9""[o]","The Beatles (""White Album"")",Lennon McCartney,Sound Collage,1968,[62]
155,"""Rock and Roll Music""",Beatles for Sale,Chuck Berry †,Lennon,1964,[61]
156,"""Rocky Raccoon""","The Beatles (""White Album"")",Lennon McCartney,McCartney,1968,[62]
157,"""Roll Over Beethoven""",With the Beatles,Chuck Berry †,Harrison,1963,[54]
158,"""Run for Your Life""",Rubber Soul,Lennon McCartney,Lennon,1965,[69]
159,"""Savoy Truffle""","The Beatles (""White Album"")",Harrison,Harrison,1968,[62]
160,"""Sexy Sadie""","The Beatles (""White Album"")",Lennon McCartney,Lennon,1968,[62]
161,"""Sgt. Pepper's Lonely Hearts Club Band""",Sgt. Pepper's Lonely Hearts Club Band,Lennon McCartney,McCartney,1967,[65]
162,"""Sgt. Pepper's Lonely Hearts Club Band (Reprise)""",Sgt. Pepper's Lonely Hearts Club Band,Lennon McCartney,McCartney Lennon Harrison,1967,[65]
163,"""She Came In Through the Bathroom Window""",Abbey Road,Lennon McCartney,McCartney,1969,[64]
164,"""She Loves You"" #",Past Masters,Lennon McCartney,Lennon McCartney,1963,[52] [78]
165,"""She Said She Said""",Revolver,Lennon McCartney,Lennon,1966,[59]
166,"""She's a Woman"" #","Past Masters (B-side of ""I Feel Fine"")",Lennon McCartney,McCartney,1964,[52] [75]
167,"""She's Leaving Home""",Sgt. Pepper's Lonely Hearts Club Band,Lennon McCartney,McCartney (with Lennon),1967,[65]
168,"""Sie liebt dich"" # (German version of ""She Loves You"")","Past Masters (B-side of ""Komm, gib mir deine Hand"")",Lennon McCartney Jean Nicolas Lee Montogue,Lennon McCartney,1964,[52] [81]
169,"""Slow Down""",Past Masters,Larry Williams †,Lennon,1964,[52]
170,"""Something""",Abbey Road,Harrison,Harrison,1969,[64]
171,"""Strawberry Fields Forever"" #","Magical Mystery Tour (Double A-side with ""Penny Lane"")",Lennon McCartney,Lennon,1967,[57] [90]
172,"""Sun King""",Abbey Road,Lennon McCartney,Lennon (with McCartney and Harrison),1969,[64]
173,"""A Taste of Honey""",Please Please Me,Bobby Scott Ric Marlow †,McCartney,1963,[60]
174,"""Taxman""",Revolver,Harrison,Harrison,1966,[59]
175,"""Tell Me What You See""",Help!,Lennon McCartney,McCartney (with Lennon),1965,[53]
